OrderID,OrderDate,DaysToProcessOrder,CustomerID
78,7/22/2018,2,3
79,7/23/2018,1,2262
80,7/23/2018,2,607
81,7/23/2018,8,2564
82,7/23/2018,10,5528
83,7/24/2018,2,5673
84,7/24/2018,1,2577
85,7/24/2018,11,8
86,7/24/2018,5,5632
87,7/25/2018,2,5515
88,7/25/2018,3,5617
89,7/26/2018,1,5625
90,7/26/2018,1,5627
91,7/26/2018,2,5638
92,7/26/2018,1,592
93,7/26/2018,2,593
94,7/26/2018,10,2266
95,7/26/2018,10,5483
96,7/27/2018,2,5619
97,7/27/2018,3,5672
98,7/27/2018,4,6086
99,7/27/2018,2,18
100,7/28/2018,1,5648
101,7/28/2018,7,2258
102,7/28/2018,3,5353
103,7/28/2018,4,5494
104,7/29/2018,3,5580
105,7/29/2018,2,5526
106,7/29/2018,3,5613
107,7/29/2018,3,11
108,7/30/2018,3,5519
109,7/30/2018,2,2
110,7/31/2018,3,5651
111,7/31/2018,3,4501
112,7/31/2018,1,5616
113,7/31/2018,7,3560
114,7/31/2018,2,5525
115,7/31/2018,5,5527
116,7/31/2018,6,5349
117,7/31/2018,11,28
118,8/1/2018,5,2261
119,8/1/2018,1,5516
120,8/1/2018,5,19
121,8/1/2018,11,3254
122,8/2/2018,3,600
123,8/2/2018,2,5496
124,8/2/2018,2,5517
125,8/2/2018,1,5621
126,8/3/2018,1,5669
127,8/3/2018,1,602
128,8/3/2018,5,608
129,8/3/2018,1,7387
130,8/3/2018,3,240
131,8/3/2018,2,3867
132,8/3/2018,3,3859
133,8/3/2018,1,5485
134,8/3/2018,2,5624
135,8/3/2018,3,1
136,8/3/2018,5,30
137,8/4/2018,1,5617
138,8/4/2018,3,6957
139,8/4/2018,3,5346
140,8/4/2018,2,5522
141,8/4/2018,3,5637
142,8/5/2018,1,3933
143,8/5/2018,3,2584
144,8/5/2018,1,594
145,8/6/2018,1,2760
146,8/6/2018,3,2586
147,8/6/2018,1,3511
148,8/6/2018,3,5524
149,8/7/2018,2,612
150,8/7/2018,2,2260
151,8/7/2018,2,5351
152,8/7/2018,1,5
153,8/7/2018,1,27
154,8/8/2018,2,5664
155,8/8/2018,1,6392
156,8/8/2018,2,3868
157,8/8/2018,7,5495
158,8/8/2018,3,5497
159,8/8/2018,3,5520
160,8/8/2018,3,5529
161,8/8/2018,3,7
162,8/9/2018,11,5653
163,8/9/2018,2,5665
164,8/9/2018,1,5671
165,8/9/2018,2,4888
166,8/9/2018,2,3559
167,8/9/2018,1,5350
168,8/9/2018,2,9
169,8/9/2018,3,3252
170,8/10/2018,2,5607
171,8/10/2018,2,5613
172,8/10/2018,3,5348
173,8/10/2018,3,29
174,8/10/2018,2,2585
175,8/11/2018,3,6886
176,8/11/2018,3,6395
177,8/11/2018,2,4122
178,8/11/2018,2,4622
179,8/11/2018,1,10
180,8/12/2018,2,5643
181,8/12/2018,2,5675
182,8/12/2018,3,6958
183,8/12/2018,1,2407
184,8/12/2018,3,5631
185,8/13/2018,2,7957
186,8/13/2018,2,7622
187,8/13/2018,1,7890
188,8/13/2018,1,7550
189,8/13/2018,2,7541
190,8/13/2018,1,7719
191,8/13/2018,2,7820
192,8/13/2018,1,7894
193,8/13/2018,1,7511
194,8/13/2018,2,7857
195,8/13/2018,2,7815
196,8/13/2018,3,7990
197,8/13/2018,3,7948
198,8/13/2018,2,7682
199,8/13/2018,1,8076
200,8/13/2018,1,7963
201,8/13/2018,2,7867
202,8/13/2018,3,7775
203,8/13/2018,11,7751
204,8/13/2018,2,7947
205,8/13/2018,3,7766
206,8/13/2018,1,8058
207,8/13/2018,1,8119
208,8/13/2018,2,7573
209,8/13/2018,3,7584
210,8/13/2018,1,8044
211,8/13/2018,2,8109
212,8/13/2018,1,7677
213,8/13/2018,3,8078
214,8/13/2018,1,8102
215,8/13/2018,3,7705
216,8/13/2018,1,7571
217,8/13/2018,3,7626
218,8/13/2018,3,8093
219,8/13/2018,1,7927
220,8/13/2018,3,7666
221,8/13/2018,2,7512
222,8/13/2018,3,7791
223,8/13/2018,1,8113
224,8/13/2018,1,7560
225,8/13/2018,10,7726
226,8/13/2018,2,7863
227,8/13/2018,1,7759
228,8/13/2018,1,7700
229,8/13/2018,2,7495
230,8/13/2018,8,7796
231,8/13/2018,2,7832
232,8/13/2018,1,7517
233,8/13/2018,1,7809
234,8/13/2018,2,7718
235,8/13/2018,1,7907
236,8/13/2018,2,8006
237,8/13/2018,4,7744
238,8/13/2018,3,7868
239,8/13/2018,10,7524
240,8/13/2018,10,7707
241,8/13/2018,1,7908
242,8/13/2018,1,7882
243,8/13/2018,2,7903
244,8/13/2018,1,7509
245,8/13/2018,1,7970
246,8/13/2018,2,8097
247,8/13/2018,1,7848
248,8/13/2018,3,7525
249,8/13/2018,2,7793
250,8/13/2018,3,7733
251,8/13/2018,3,7789
252,8/13/2018,1,7965
253,8/13/2018,8,7619
254,8/13/2018,3,7855
255,8/13/2018,3,7776
256,8/13/2018,3,7523
257,8/13/2018,3,7690
258,8/13/2018,1,7513
259,8/13/2018,10,7887
260,8/13/2018,3,43
261,8/13/2018,3,1125
262,8/13/2018,1,6068
263,8/13/2018,11,5744
264,8/13/2018,1,2547
265,8/14/2018,5,6020
266,8/14/2018,4,1133
267,8/14/2018,2,5662
268,8/15/2018,1,56
269,8/15/2018,2,5663
270,8/15/2018,2,5741
271,8/15/2018,5,3272
272,8/16/2018,2,6040
273,8/16/2018,2,2549
274,8/16/2018,2,5742
275,8/16/2018,2,32
276,8/16/2018,2,35
277,8/17/2018,3,5597
278,8/17/2018,11,6067
279,8/17/2018,2,6048
280,8/17/2018,8,5687
281,8/17/2018,3,5660
282,8/17/2018,2,3296
283,8/18/2018,1,2601
284,8/18/2018,3,6052
285,8/18/2018,5,3566
286,8/18/2018,1,55
287,8/18/2018,7,5676
288,8/18/2018,2,5688
289,8/18/2018,3,5713
290,8/18/2018,4,48
291,8/19/2018,3,5728
292,8/19/2018,3,6016
293,8/19/2018,2,5697
294,8/19/2018,2,5640
295,8/20/2018,1,1158
296,8/20/2018,2,2603
297,8/20/2018,8,2662
298,8/20/2018,3,31
299,8/21/2018,3,6070
300,8/21/2018,2,5659
301,8/21/2018,1,36
302,8/21/2018,1,47
303,8/22/2018,2,6033
304,8/22/2018,2,6078
305,8/22/2018,3,5686
306,8/22/2018,2,5746
307,8/22/2018,11,39
308,8/22/2018,1,40
309,8/23/2018,1,6042
310,8/23/2018,2,6069
311,8/23/2018,1,6073
312,8/23/2018,2,5685
313,8/23/2018,5,5658
314,8/24/2018,7,8082
315,8/24/2018,4,6041
316,8/24/2018,7,2688
317,8/24/2018,3,2541
318,8/24/2018,2,6065
319,8/24/2018,2,5704
320,8/25/2018,2,6032
321,8/25/2018,6,3577
322,8/25/2018,3,49
323,8/25/2018,1,5665
324,8/25/2018,2,3273
325,8/26/2018,3,6019
326,8/26/2018,2,2546
327,8/26/2018,2,2516
328,8/26/2018,2,6072
329,8/27/2018,3,6044
330,8/27/2018,2,245
331,8/27/2018,2,6085
332,8/27/2018,3,3874
333,8/27/2018,1,5661
334,8/27/2018,1,5639
335,8/29/2018,3,5930
336,8/30/2018,1,5683
337,8/30/2018,3,2792
338,8/30/2018,1,5922
339,8/30/2018,3,6024
340,8/30/2018,2,34
341,8/30/2018,3,6049
342,8/31/2018,3,5920
343,8/31/2018,3,6046
344,8/31/2018,8,3573
345,8/31/2018,1,5453
346,8/31/2018,2,6063
347,8/31/2018,1,4631
348,8/31/2018,3,5745
349,8/31/2018,2,3557
350,9/1/2018,1,5680
351,9/1/2018,10,5761
352,9/1/2018,2,2681
353,9/1/2018,4,2515
354,9/1/2018,3,53
355,9/1/2018,2,5929
356,9/2/2018,7,5919
357,9/2/2018,2,2694
358,9/2/2018,1,248
359,9/2/2018,2,6080
360,9/2/2018,1,3878
361,9/2/2018,2,5702
362,9/2/2018,1,5932
363,9/2/2018,3,33
364,9/3/2018,2,10
365,9/3/2018,3,4032
366,9/3/2018,1,5664
367,9/3/2018,2,5709
368,9/3/2018,2,6046
369,9/4/2018,1,4573
370,9/4/2018,3,6049
371,9/4/2018,1,51
372,9/5/2018,1,1132
373,9/5/2018,3,2690
374,9/5/2018,3,244
375,9/5/2018,2,5694
376,9/5/2018,1,5703
377,9/5/2018,3,5708
378,9/5/2018,2,6047
379,9/5/2018,10,3274
380,9/5/2018,2,3870
381,9/6/2018,2,6972
382,9/6/2018,2,58
383,9/6/2018,7,5743
384,9/7/2018,2,2679
385,9/7/2018,2,2680
386,9/7/2018,1,2691
387,9/7/2018,1,6396
388,9/7/2018,3,6066
389,9/7/2018,2,3880
390,9/7/2018,3,5714
391,9/8/2018,2,2539
392,9/8/2018,2,6051
393,9/9/2018,2,2692
394,9/9/2018,2,5638
395,9/10/2018,3,405
396,9/10/2018,1,2543
397,9/10/2018,7,2544
398,9/10/2018,8,2560
399,9/10/2018,7,3578
400,9/10/2018,11,57
401,9/10/2018,2,5689
402,9/10/2018,3,3275
403,9/11/2018,2,5921
404,9/11/2018,1,6043
405,9/11/2018,1,241
406,9/11/2018,1,52
407,9/11/2018,7,6064
408,9/11/2018,1,3869
409,9/11/2018,1,6050
410,9/12/2018,1,2542
411,9/12/2018,4,6397
412,9/12/2018,2,3127
413,9/12/2018,2,5692
414,9/12/2018,2,5657
415,9/12/2018,3,45
416,9/13/2018,2,7594
417,9/13/2018,2,7634
418,9/13/2018,2,8005
419,9/13/2018,11,7716
420,9/13/2018,4,7624
421,9/13/2018,10,7969
422,9/13/2018,2,7735
423,9/13/2018,3,7952
424,9/13/2018,2,7805
425,9/13/2018,2,7971
426,9/13/2018,1,7496
427,9/13/2018,2,7641
428,9/13/2018,3,7724
429,9/13/2018,3,7946
430,9/13/2018,1,7844
431,9/13/2018,1,7675
432,9/13/2018,6,7661
433,9/13/2018,1,7916
434,9/13/2018,2,8092
435,9/13/2018,1,7710
436,9/13/2018,2,7713
437,9/13/2018,1,7750
438,9/13/2018,3,7657
439,9/13/2018,5,7653
440,9/13/2018,3,7506
441,9/13/2018,3,7899
442,9/13/2018,1,7692
443,9/13/2018,6,7723
444,9/13/2018,3,7683
445,9/13/2018,1,7579
446,9/13/2018,2,7757
447,9/13/2018,2,7771
448,9/13/2018,2,8070
449,9/13/2018,1,8108
450,9/13/2018,2,7688
451,9/13/2018,3,7923
452,9/13/2018,1,7488
453,9/13/2018,2,7742
454,9/13/2018,6,7651
455,9/13/2018,2,7940
456,9/13/2018,3,7748
457,9/13/2018,1,7527
458,9/13/2018,3,7687
459,9/13/2018,2,7583
460,9/13/2018,3,7885
461,9/13/2018,2,7836
462,9/13/2018,1,7704
463,9/13/2018,3,7712
464,9/13/2018,1,7520
465,9/13/2018,1,7500
466,9/13/2018,1,7639
467,9/13/2018,2,7874
468,9/13/2018,3,7812
469,9/13/2018,1,7564
470,9/13/2018,1,8090
471,9/13/2018,3,7968
472,9/13/2018,3,7644
473,9/13/2018,2,7489
474,9/13/2018,2,7486
475,9/13/2018,2,7717
476,9/13/2018,3,2822
477,9/13/2018,1,6158
478,9/13/2018,2,116
479,9/13/2018,10,6329
480,9/14/2018,4,2766
481,9/14/2018,2,2793
482,9/14/2018,3,1222
483,9/14/2018,3,2573
484,9/14/2018,2,60
485,9/14/2018,3,6147
486,9/14/2018,3,6072
487,9/14/2018,2,6310
488,9/14/2018,2,6311
489,9/14/2018,1,6321
490,9/15/2018,3,6174
491,9/15/2018,2,6243
492,9/15/2018,1,6316
493,9/15/2018,4,3560
494,9/16/2018,3,335
495,9/16/2018,7,6170
496,9/16/2018,5,6183
497,9/16/2018,2,6133
498,9/16/2018,11,3889
499,9/16/2018,3,6056
500,9/17/2018,2,2568
501,9/17/2018,1,6184
502,9/17/2018,3,6188
503,9/18/2018,9,2773
504,9/18/2018,2,6187
505,9/18/2018,3,6195
506,9/18/2018,3,6090
507,9/18/2018,3,6066
508,9/18/2018,2,3582
509,9/18/2018,2,6309
510,9/19/2018,1,1212
511,9/19/2018,3,6181
512,9/19/2018,2,6185
513,9/19/2018,2,6114
514,9/19/2018,1,3585
515,9/20/2018,1,2785
516,9/20/2018,2,6230
517,9/20/2018,2,6247
518,9/21/2018,3,1221
519,9/21/2018,9,338
520,9/21/2018,5,6099
521,9/21/2018,2,3890
522,9/21/2018,2,59
523,9/21/2018,2,6295
524,9/21/2018,6,6300
525,9/22/2018,3,6160
526,9/22/2018,3,6248
527,9/22/2018,3,6281
528,9/24/2018,3,3891
529,9/24/2018,8,6070
530,9/25/2018,1,4768
531,9/25/2018,3,4157
532,9/25/2018,1,62
533,9/25/2018,8,6249
534,9/26/2018,4,2571
535,9/26/2018,1,6166
536,9/26/2018,3,6065
537,9/26/2018,2,6250
538,9/26/2018,3,6296
539,9/27/2018,3,6098
540,9/27/2018,2,6152
541,9/27/2018,2,6260
542,9/27/2018,3,6313
543,9/28/2018,5,1255
544,9/28/2018,1,6161
545,9/28/2018,2,6151
546,9/28/2018,1,3581
547,9/28/2018,3,6286
548,9/29/2018,1,251
549,9/29/2018,3,6164
550,9/29/2018,1,3881
551,9/29/2018,2,6258
552,9/30/2018,11,2784
553,9/30/2018,2,6156
554,9/30/2018,3,6172
555,9/30/2018,1,6352
556,9/30/2018,7,6333
557,10/1/2018,3,6182
558,10/1/2018,6,2561
559,10/1/2018,7,6150
560,10/1/2018,3,111
561,10/1/2018,1,3591
562,10/1/2018,3,61
563,10/1/2018,2,6256
564,10/1/2018,5,6259
565,10/2/2018,1,2848
566,10/2/2018,1,6168
567,10/3/2018,9,4200
568,10/3/2018,2,1256
569,10/3/2018,1,6403
570,10/3/2018,3,334
571,10/3/2018,2,3888
572,10/3/2018,3,6242
573,10/3/2018,6,6974
574,10/3/2018,3,6335
575,10/4/2018,2,2842
576,10/4/2018,3,6186
577,10/4/2018,1,119
578,10/4/2018,2,6193
579,10/4/2018,1,6057
580,10/4/2018,1,6080
581,10/5/2018,3,1218
582,10/5/2018,1,2581
583,10/5/2018,2,6157
584,10/5/2018,3,6165
585,10/5/2018,1,6279
586,10/5/2018,2,6330
587,10/5/2018,2,3558
588,10/6/2018,3,1220
589,10/6/2018,3,6234
590,10/6/2018,2,6241
591,10/7/2018,2,2846
592,10/7/2018,1,6169
593,10/7/2018,1,6192
594,10/8/2018,2,2778
595,10/8/2018,1,6101
596,10/8/2018,3,6144
597,10/8/2018,3,3586
598,10/8/2018,3,6233
599,10/9/2018,3,1213
600,10/9/2018,2,2580
601,10/9/2018,2,6173
602,10/9/2018,1,6196
603,10/9/2018,3,114
604,10/9/2018,1,4067
605,10/9/2018,2,6280
606,10/9/2018,1,6287
607,10/9/2018,1,3559
608,10/9/2018,3,3561
609,10/10/2018,3,5055
610,10/10/2018,1,2821
611,10/11/2018,7,3590
612,10/12/2018,11,2795
613,10/12/2018,1,2847
614,10/12/2018,3,1257
615,10/12/2018,3,6149
616,10/12/2018,3,6154
617,10/12/2018,2,6257
618,10/12/2018,2,6278
619,10/12/2018,1,6289
620,10/12/2018,3,6294
621,10/12/2018,1,6327
622,10/13/2018,1,7888
623,10/13/2018,1,7567
624,10/13/2018,3,7736
625,10/13/2018,2,7996
626,10/13/2018,2,7582
627,10/13/2018,3,7900
628,10/13/2018,2,8054
629,10/13/2018,2,7976
630,10/13/2018,3,7616
631,10/13/2018,2,7568
632,10/13/2018,7,7684
633,10/13/2018,1,7749
634,10/13/2018,1,7975
635,10/13/2018,2,7846
636,10/13/2018,1,8069
637,10/13/2018,3,7598
638,10/13/2018,10,7829
639,10/13/2018,2,7813
640,10/13/2018,2,7826
641,10/13/2018,1,7891
642,10/13/2018,3,7763
643,10/13/2018,3,7491
644,10/13/2018,2,7851
645,10/13/2018,3,8098
646,10/13/2018,1,7960
647,10/13/2018,3,7827
648,10/13/2018,3,7663
649,10/13/2018,2,7761
650,10/13/2018,3,7499
651,10/13/2018,1,7914
652,10/13/2018,3,8086
653,10/13/2018,1,7612
654,10/13/2018,8,7608
655,10/13/2018,1,7720
656,10/13/2018,1,7648
657,10/13/2018,4,7572
658,10/13/2018,2,7535
659,10/13/2018,1,7994
660,10/13/2018,2,7493
661,10/13/2018,2,7551
662,10/13/2018,5,3430
663,10/13/2018,10,6224
664,10/13/2018,1,6976
665,10/13/2018,3,73
666,10/14/2018,8,1268
667,10/14/2018,10,96
668,10/14/2018,3,6729
669,10/15/2018,1,6600
670,10/15/2018,1,6922
671,10/15/2018,1,6905
672,10/15/2018,3,6201
673,10/16/2018,2,6259
674,10/16/2018,2,6511
675,10/17/2018,1,344
676,10/17/2018,9,6275
677,10/17/2018,3,3214
678,10/17/2018,2,3897
679,10/17/2018,3,98
680,10/17/2018,2,7189
681,10/17/2018,1,7190
682,10/17/2018,2,6355
683,10/18/2018,2,3907
684,10/18/2018,3,3611
685,10/18/2018,1,6921
686,10/19/2018,1,3428
687,10/19/2018,5,6202
688,10/19/2018,1,3603
689,10/19/2018,8,6912
690,10/20/2018,2,3160
691,10/20/2018,1,6245
692,10/20/2018,3,6246
693,10/20/2018,2,6273
694,10/20/2018,1,6299
695,10/20/2018,2,3592
696,10/20/2018,1,3604
697,10/20/2018,2,94
698,10/20/2018,1,100
699,10/20/2018,3,6512
700,10/20/2018,8,6733
701,10/21/2018,2,3526
702,10/21/2018,2,3159
703,10/21/2018,2,2687
704,10/21/2018,3,6261
705,10/21/2018,1,6287
706,10/21/2018,3,93
707,10/21/2018,3,6913
708,10/21/2018,7,6503
709,10/21/2018,1,3564
710,10/22/2018,7,3151
711,10/22/2018,3,6252
712,10/22/2018,3,7194
713,10/22/2018,1,6515
714,10/22/2018,1,6737
715,10/23/2018,1,2768
716,10/23/2018,1,3158
717,10/23/2018,1,3184
718,10/23/2018,2,7401
719,10/23/2018,3,6236
720,10/23/2018,3,3905
721,10/23/2018,2,81
722,10/23/2018,1,6916
723,10/24/2018,1,3192
724,10/24/2018,1,342
725,10/24/2018,2,6270
726,10/24/2018,11,6298
727,10/24/2018,8,6300
728,10/24/2018,2,6589
729,10/24/2018,8,97
730,10/24/2018,2,6925
731,10/24/2018,2,6926
732,10/24/2018,1,6354
733,10/24/2018,2,6731
734,10/24/2018,5,6911
735,10/25/2018,4,7400
736,10/25/2018,1,6248
737,10/25/2018,1,6341
738,10/25/2018,3,3903
739,10/25/2018,2,3597
740,10/25/2018,1,6734
741,10/26/2018,1,6242
742,10/26/2018,3,6590
743,10/26/2018,10,6516
744,10/27/2018,9,2667
745,10/27/2018,3,1823
746,10/28/2018,1,6223
747,10/28/2018,3,6226
748,10/28/2018,2,6301
749,10/28/2018,2,78
750,10/28/2018,6,104
751,10/28/2018,2,3565
752,10/29/2018,2,6225
753,10/29/2018,6,6586
754,10/29/2018,1,101
755,10/30/2018,2,2607
756,10/30/2018,5,6342
757,10/30/2018,3,6357
758,10/30/2018,3,70
759,10/30/2018,2,6918
760,10/30/2018,3,6920
761,10/30/2018,1,6353
762,10/30/2018,1,6513
763,10/31/2018,3,2608
764,10/31/2018,3,745
765,10/31/2018,3,6588
766,10/31/2018,3,6917
767,10/31/2018,1,6505
768,11/1/2018,3,2771
769,11/1/2018,7,3147
770,11/1/2018,2,6364
771,11/1/2018,2,6585
772,11/1/2018,3,6928
773,11/1/2018,3,6726
774,11/2/2018,3,3166
775,11/2/2018,2,6272
776,11/2/2018,3,6582
777,11/3/2018,3,6575
778,11/3/2018,3,4632
779,11/3/2018,1,77
780,11/3/2018,11,6910
781,11/4/2018,3,3196
782,11/4/2018,3,1262
783,11/4/2018,3,120
784,11/4/2018,3,3600
785,11/4/2018,1,6371
786,11/6/2018,10,2698
787,11/7/2018,3,6479
788,11/7/2018,2,6915
789,11/8/2018,2,1266
790,11/8/2018,1,6266
791,11/8/2018,1,6295
792,11/8/2018,3,6296
793,11/8/2018,2,6297
794,11/8/2018,5,3113
795,11/8/2018,1,6924
796,11/8/2018,2,6927
797,11/8/2018,3,6514
798,11/8/2018,1,3562
799,11/9/2018,3,6198
800,11/9/2018,2,6249
801,11/9/2018,2,6290
802,11/9/2018,1,5230
803,11/9/2018,9,6919
804,11/10/2018,1,3156
805,11/10/2018,2,238
806,11/10/2018,2,122
807,11/10/2018,2,3614
808,11/10/2018,1,4642
809,11/10/2018,3,71
810,11/10/2018,10,76
811,11/10/2018,2,6735
812,11/10/2018,2,6736
813,11/10/2018,5,3563
814,11/11/2018,1,2686
815,11/11/2018,2,6257
816,11/11/2018,1,3602
817,11/11/2018,2,102
818,11/11/2018,2,6914
819,11/11/2018,7,6923
820,11/11/2018,2,6727
821,11/12/2018,1,7393
822,11/12/2018,1,3893
823,11/13/2018,2,7759
824,11/13/2018,1,7670
825,11/13/2018,1,7613
826,11/13/2018,1,7622
827,11/13/2018,1,8060
828,11/13/2018,2,7550
829,11/13/2018,2,7957
830,11/13/2018,1,7890
831,11/13/2018,2,7719
832,11/13/2018,1,7541
833,11/13/2018,6,7557
834,11/13/2018,3,7820
835,11/13/2018,3,8013
836,11/13/2018,2,7511
837,11/13/2018,3,7815
838,11/13/2018,3,7894
839,11/13/2018,3,7990
840,11/13/2018,1,7948
841,11/13/2018,1,7682
842,11/13/2018,3,7867
843,11/13/2018,1,7775
844,11/13/2018,11,7963
845,11/13/2018,10,7556
846,11/13/2018,3,8076
847,11/13/2018,2,8058
848,11/13/2018,3,7751
849,11/13/2018,1,7947
850,11/13/2018,2,7766
851,11/13/2018,2,8119
852,11/13/2018,2,7730
853,11/13/2018,2,7573
854,11/13/2018,10,8044
855,11/13/2018,3,7584
856,11/13/2018,1,8109
857,11/13/2018,3,7677
858,11/13/2018,3,7587
859,11/13/2018,3,8078
860,11/13/2018,3,7626
861,11/13/2018,1,7571
862,11/13/2018,3,7705
863,11/13/2018,2,8102
864,11/13/2018,2,8093
865,11/13/2018,4,7927
866,11/13/2018,2,7666
867,11/13/2018,1,7512
868,11/13/2018,3,7791
869,11/13/2018,3,7560
870,11/13/2018,2,8113
871,11/13/2018,3,8012
872,11/13/2018,3,7863
873,11/13/2018,3,7726
874,11/13/2018,2,7495
875,11/13/2018,11,7700
876,11/13/2018,11,7517
877,11/13/2018,4,7796
878,11/13/2018,5,7585
879,11/13/2018,2,7543
880,11/13/2018,2,7718
881,11/13/2018,1,7832
882,11/13/2018,11,7744
883,11/13/2018,6,8006
884,11/13/2018,1,7809
885,11/13/2018,1,7932
886,11/13/2018,8,7524
887,11/13/2018,3,7868
888,11/13/2018,3,8024
889,11/13/2018,1,7707
890,11/13/2018,1,8014
891,11/13/2018,1,7882
892,11/13/2018,2,7908
893,11/13/2018,11,7903
894,11/13/2018,9,7509
895,11/13/2018,1,7970
896,11/13/2018,3,7590
897,11/13/2018,3,7848
898,11/13/2018,1,7525
899,11/13/2018,3,8097
900,11/13/2018,1,7733
901,11/13/2018,2,7793
902,11/13/2018,8,7787
903,11/13/2018,3,7789
904,11/13/2018,2,7965
905,11/13/2018,3,7619
906,11/13/2018,2,7855
907,11/13/2018,2,7758
908,11/13/2018,4,7776
909,11/13/2018,10,7523
910,11/13/2018,5,7690
911,11/13/2018,2,7513
912,11/13/2018,1,7887
913,11/13/2018,2,7450
914,11/13/2018,7,6666
915,11/13/2018,11,3919
916,11/13/2018,3,108
917,11/13/2018,10,111
918,11/13/2018,2,6662
919,11/14/2018,5,6669
920,11/14/2018,6,6655
921,11/14/2018,1,6664
922,11/15/2018,1,2783
923,11/15/2018,8,109
924,11/15/2018,2,135
925,11/15/2018,2,7211
926,11/16/2018,1,6673
927,11/16/2018,1,6792
928,11/16/2018,2,6796
929,11/16/2018,1,6629
930,11/16/2018,9,4685
931,11/16/2018,2,105
932,11/17/2018,2,2796
933,11/17/2018,3,6988
934,11/17/2018,1,6763
935,11/17/2018,3,6647
936,11/17/2018,1,7251
937,11/17/2018,2,125
938,11/17/2018,1,7239
939,11/18/2018,2,1291
940,11/18/2018,3,7402
941,11/18/2018,2,6794
942,11/18/2018,1,7244
943,11/18/2018,3,118
944,11/19/2018,1,3703
945,11/19/2018,2,6321
946,11/19/2018,2,3612
947,11/19/2018,2,6674
948,11/19/2018,2,6774
949,11/19/2018,1,6776
950,11/19/2018,1,7201
951,11/19/2018,1,7221
952,11/19/2018,1,7242
953,11/20/2018,2,2779
954,11/20/2018,3,6677
955,11/20/2018,1,6630
956,11/20/2018,3,6652
957,11/20/2018,2,6656
958,11/20/2018,1,6657
959,11/20/2018,2,6668
960,11/20/2018,8,7206
961,11/21/2018,11,2790
962,11/21/2018,2,7205
963,11/21/2018,1,7218
964,11/21/2018,1,2772
965,11/22/2018,2,1302
966,11/22/2018,2,559
967,11/22/2018,2,6660
968,11/22/2018,3,7273
969,11/22/2018,2,110
970,11/22/2018,1,357
971,11/22/2018,3,7210
972,11/23/2018,11,6767
973,11/23/2018,1,6631
974,11/23/2018,3,7197
975,11/23/2018,8,7204
976,11/23/2018,2,7214
977,11/23/2018,1,7219
978,11/24/2018,4,3706
979,11/24/2018,2,6646
980,11/24/2018,1,6653
981,11/24/2018,4,3618
982,11/24/2018,1,7247
983,11/24/2018,3,7256
984,11/24/2018,1,3569
985,11/25/2018,10,1281
986,11/25/2018,4,1280
987,11/25/2018,3,345
988,11/25/2018,3,7451
989,11/25/2018,2,6772
990,11/25/2018,2,3918
991,11/25/2018,2,3926
992,11/25/2018,2,148
993,11/26/2018,2,3721
994,11/26/2018,1,6409
995,11/26/2018,2,5261
996,11/26/2018,1,6621
997,11/26/2018,11,106
998,11/26/2018,1,7276
999,11/26/2018,3,121
1000,11/26/2018,1,7202
1001,11/26/2018,1,7209
1002,11/27/2018,3,6777
1003,11/27/2018,3,3640
